,title,area,numberOfRooms,price,town,district
187,COOK GENİS KUPON DAİRE KACİRMAYİN FİRSATİ!!!,120,2+1,830000,Arnavutköy,Arnavutköy Merkez Mh.
188,ARNAVUTKÖY UYGUN FİYATA 4+1 DÜBLEX DAİRE,190,4+1,1150000,Arnavutköy,Anadolu Mah.
189,5K İNŞAAT TAN SATILIK DUBLEKX,200,5+1,1500000,Arnavutköy,Arnavutköy Merkez Mh.
190,Hadımköy Kiptaş 3.Etap Konutları Çift Cephe 2+1 Satılık Daire,85,2+1,990000,Hadımköy,(Boyalık)Deliklikaya Mah.
191,Anadolu mahallesi nde satılık dubleks,210,4+2,1400000,Arnavutköy,Anadolu Mah.
192,TEKBAŞLAR'DAN 280 M2 OTURUMA HAZIR GENİŞ FERAH DUBLEKS DAİRE,280,5+1,1980000,Arnavutköy,Mustafa Kemal Paşa Mh.
193,ARNAVUTKÖY TAŞOLUK DA SATILIK 2+1 ANAHTAR TESLİM DAİRE,100,2+1,1130000,Taşoluk,Mehmet Akif Ersoy Mah.
194,"HADIMKÖY KİPTAŞ KONUTLARI 1. ETAP, 9. KAT, 2+1 SATILIK DAİRE,",85,2+1,1020000,Arnavutköy,Hadımköy Mh.
195,DELİKLİKAYA ELİT BAHÇEKENT SİTESİ'NDE SATILIK 3+1 DAİRE,172,3+1,2000000,Hadımköy,(Boyalık)Deliklikaya Mah.
196,ARNAVUTKÖY YUNUS EMRE MAHALLESİN DE SATILIK 3+2 DUBLEKS,150,3+2,1060000,Arnavutköy,Yunus Emre Mah.
197,ARNAVUTKÖY SATILIK DAIRE,120,2+1,710000,Arnavutköy,İslambey Mh.
198,ARNAVUTKÖY MERKEZ MAH. 3+1 GENİŞ DAİRE,135,3+1,1350000,Arnavutköy,Arnavutköy Merkez Mh.
199,RESOLD MERKEZ OFİS'TEN DELİKLİKAYA KİPTAŞ'TA 2+1 SATILIK DAİRE,84,2+1,1120000,Hadımköy,(Boyalık)Deliklikaya Mah.
200,Hadımköy dublex 3+2 daire,165,3+2,1300000,Arnavutköy,Hadımköy Mh.
201,Anadolu Mah Asansörlü Çift Balkonlu Lüks Daire 1.Kat 2+1 100 M2,100,2+1,1100000,Arnavutköy,Anadolu Mah.
202,merkez mahallesi satılık 2+1 1. normal kat,98,2+1,970000,Arnavutköy,Arnavutköy Merkez Mh.
